condition,probe,policy_id,enactment_year,topics,slope,endpoint_delta
talkie_cpt,yes_no,US-1972-TITLE-IX,1972,civil_rights,0.007848,0.071032
talkie_cpt,yes_no,US-1972-YODER,1972,,0.003878,0.040277
talkie_cpt,yes_no,US-1972-CPSA,1972,labor_wages,0.004400,0.045237
talkie_cpt,yes_no,US-1973-ESA,1973,,0.007071,0.050266
talkie_cpt,yes_no,US-1973-REHABILITATION,1973,civil_rights|labor_wages,0.004541,0.040510
talkie_cpt,yes_no,US-1973-RODRIGUEZ,1973,civil_rights,0.005250,0.040770
talkie_cpt,yes_no,US-1973-ROE,1973,,0.004802,0.026292
talkie_cpt,yes_no,US-1973-WAR-POWERS,1973,natl_security,0.008432,0.089890
talkie_cpt,yes_no,US-1974-ECOA,1974,civil_rights,0.003843,0.044385
talkie_cpt,yes_no,US-1974-ERISA,1974,social_welfare,0.008267,0.134136
talkie_cpt,yes_no,US-1974-MILLIKEN,1974,civil_rights,0.013491,0.235125
talkie_cpt,yes_no,US-1974-PRIVACY-ACT,1974,,0.008283,0.077250
talkie_cpt,yes_no,US-1975-IDEA,1975,,0.032977,0.526649
talkie_cpt,yes_no,US-1975-ISDEAA,1975,,0.017234,0.280714
talkie_cpt,yes_no,US-1975-EPCA,1975,environment,0.037399,0.354119
talkie_cpt,yes_no,US-1976-BUCKLEY,1976,,0.019317,0.121980
talkie_cpt,yes_no,US-1976-GREGG,1976,crim_justice,0.014013,0.105018
talkie_cpt,yes_no,US-1976-TSCA,1976,,0.009232,0.050227
talkie_cpt,yes_no,US-1977-CRA,1977,finance_banking,0.016144,-0.000773
talkie_cpt,yes_no,US-1977-FED-DUAL-MANDATE,1977,labor_wages,0.007323,-0.001884
talkie_cpt,yes_no,US-1978-AIRLINE-DEREG,1978,environment,0.007251,0.040397
talkie_cpt,yes_no,US-1978-BAKKE,1978,civil_rights,0.009229,0.074694
talkie_cpt,yes_no,US-1978-FISA,1978,natl_security,0.014759,0.062479
talkie_cpt,yes_no,US-1978-HUMPHREY-HAWKINS,1978,labor_wages,0.015014,0.068961
talkie_cpt,yes_no,US-1978-ICWA,1978,,0.013172,0.054745
talkie_cpt,yes_no,US-1978-PREGNANCY-DISCRIM,1978,civil_rights,0.008743,0.079678
talkie_cpt,yes_no,US-1978-AIRFA,1978,,0.020996,0.130118
talkie_cpt,yes_no,US-1980-CERCLA,1980,,0.005489,0.054160
talkie_cpt,yes_no,US-1980-DIDMCA,1980,,0.009565,0.097074
talkie_cpt,yes_no,US-1980-REFUGEE-ACT,1980,,0.006159,0.069687
talkie_cpt,yes_no,US-1982-VRA-AMENDMENTS,1982,civil_rights,0.001450,0.001457
talkie_cpt,yes_no,US-1983-CHADHA,1983,,-0.010473,-0.003618
talkie_cpt,yes_no,US-1984-CHEVRON,1984,,-0.016428,-0.113957
talkie_cpt,yes_no,US-1984-SENTENCING,1984,crim_justice,-0.017730,-0.086785
talkie_cpt,yes_no,US-1986-BOWERS,1986,crim_justice,-0.005826,-0.068357
talkie_cpt,yes_no,US-1986-IRCA,1986,,-0.010917,-0.176124
talkie_cpt,yes_no,US-1986-TAX-REFORM,1986,finance_banking,-0.005559,-0.124646
talkie_cpt,yes_no,US-1987-DOLE,1987,,-0.005315,-0.024714
talkie_cpt,yes_no,US-1988-CIVIL-LIBERTIES-ACT,1988,,-0.006149,-0.057515
talkie_cpt,yes_no,US-1990-ADA,1990,civil_rights,-0.001501,-0.069348
talkie_cpt,yes_no,US-1990-CLEAN-AIR-AMEND,1990,environment,-0.001710,-0.080164
talkie_cpt,yes_no,US-1990-IMMIGRATION-ACT,1990,labor_wages,-0.002148,-0.059065
talkie_cpt,yes_no,US-1991-CIVIL-RIGHTS-ACT,1991,civil_rights|labor_wages,0.003239,0.031275
talkie_cpt,yes_no,US-1992-CASEY,1992,,0.003487,0.011301
talkie_cpt,yes_no,US-1993-BRADY,1993,crim_justice,-0.000404,-0.027163
talkie_cpt,yes_no,US-1993-FMLA,1993,health_medical,0.001938,-0.000711
talkie_cpt,yes_no,US-1993-NVRA,1993,,-0.001333,-0.023682
talkie_cpt,yes_no,US-1993-RFRA,1993,,-0.004293,-0.038069
talkie_cpt,yes_no,US-1994-CRIME-BILL,1994,crim_justice,0.004923,-0.035406
talkie_cpt,yes_no,US-1994-NAFTA,1994,,-0.003671,-0.055180
talkie_cpt,yes_no,US-1994-VAWA,1994,,-0.000829,-0.074423
talkie_cpt,yes_no,US-1995-LOPEZ,1995,crim_justice,-0.003726,-0.058309
talkie_cpt,yes_no,US-1996-DOMA,1996,,-0.002522,-0.026104
talkie_cpt,yes_no,US-1996-PRWORA,1996,social_welfare,-0.005272,-0.036354
talkie_cpt,yes_no,US-1996-TELECOM,1996,,-0.005510,-0.043539
talkie_cpt,yes_no,US-1996-AEDPA,1996,,-0.010228,-0.039524
talkie_cpt,yes_no,US-1996-IIRIRA,1996,,-0.013274,-0.087190
talkie_cpt,yes_no,US-1997-PRINTZ,1997,,-0.004647,-0.032652
talkie_cpt,yes_no,US-1997-RENO-ACLU,1997,,-0.005166,-0.045066
talkie_cpt,yes_no,US-1999-GLBA,1999,,-0.001085,-0.005838
talkie_cpt,yes_no,US-2000-BUSH-GORE,2000,civil_rights,-0.004479,-0.034781
talkie_cpt,yes_no,US-2001-NCLB,2001,,-0.010225,-0.174198
talkie_cpt,yes_no,US-2001-PATRIOT,2001,natl_security,-0.012365,-0.241998
talkie_cpt,yes_no,US-2001-AUMF,2001,,-0.007232,-0.117887
talkie_cpt,yes_no,US-2002-HAVA,2002,,-0.003163,-0.021853
talkie_cpt,yes_no,US-2002-HOMELAND-SECURITY,2002,natl_security|finance_banking,-0.003985,-0.043001
talkie_cpt,yes_no,US-2002-SOX,2002,,-0.009233,-0.056543
talkie_cpt,yes_no,US-2002-IRAQ-AUMF,2002,natl_security,-0.003358,-0.036573
talkie_cpt,yes_no,US-2003-LAWRENCE,2003,crim_justice,0.001177,0.015192
talkie_cpt,yes_no,US-2003-MEDICARE-MMA,2003,social_welfare|health_medical,0.000802,0.008283
talkie_cpt,yes_no,US-2005-KELO,2005,,0.003649,0.012001
talkie_cpt,yes_no,US-2007-MASS-EPA,2007,environment,-0.000096,0.004598
talkie_cpt,yes_no,US-2008-HELLER,2008,crim_justice,-0.002909,-0.024083
talkie_cpt,yes_no,US-2009-ARRA,2009,finance_banking,-0.002215,-0.027797
talkie_cpt,yes_no,US-2009-LILLY-LEDBETTER,2009,civil_rights,-0.003787,-0.019860
talkie_cpt,yes_no,US-2009-HATE-CRIMES,2009,crim_justice,-0.010780,-0.060315
talkie_cpt,yes_no,US-2010-ACA,2010,social_welfare,-0.002309,0.002056
talkie_cpt,yes_no,US-2010-CITIZENS-UNITED,2010,,0.000493,0.008629
talkie_cpt,yes_no,US-2010-DODD-FRANK,2010,,-0.000380,0.026055
talkie_cpt,yes_no,US-2010-MCDONALD,2010,,-0.002714,-0.009743
talkie_cpt,yes_no,US-2010-DADT-REPEAL,2010,civil_rights|natl_security,-0.004891,-0.027656
talkie_cpt,yes_no,US-2012-NFIB,2012,social_welfare|finance_banking,-0.005246,-0.040056
talkie_cpt,yes_no,US-2013-SHELBY,2013,civil_rights,0.003667,0.055333
talkie_cpt,yes_no,US-2013-WINDSOR,2013,,0.000922,0.025119
talkie_cpt,yes_no,US-2014-HOBBY-LOBBY,2014,civil_rights,0.000922,0.000951
talkie_cpt,yes_no,US-2015-OBERGEFELL,2015,,0.006805,0.072955
talkie_cpt,yes_no,US-2017-TCJA,2017,finance_banking,0.005160,0.028100
talkie_cpt,yes_no,US-2018-JANUS,2018,labor_wages,0.001313,0.016206
talkie_cpt,yes_no,US-2018-FIRST-STEP,2018,crim_justice,0.010587,0.130529
talkie_cpt,yes_no,US-2019-RUCHO,2019,,0.002070,0.041693
talkie_cpt,yes_no,US-2020-BOSTOCK,2020,civil_rights,0.001241,0.013728
talkie_cpt,yes_no,US-2020-CARES,2020,labor_wages|social_welfare,0.000064,0.001665
talkie_cpt,yes_no,US-2020-MCGIRT,2020,crim_justice,-0.000917,-0.007010
talkie_cpt,yes_no,US-2021-AMERICAN-RESCUE-PLAN,2021,labor_wages|social_welfare|finance_banking,-0.003927,-0.049330
